frame,particle,x,y,z,mass
0,1,-1.81866,-4.16455,0.0456383,1.0
0,2,-2.61909,-6.48868,-0.0076491,1.0
0,3,-5.70557,-6.8394,0.0787937,1.0
0,4,0.702015,-7.55383,0.00899852,1.0
0,5,-2.05865,-6.92805,-0.0334141,1.0
0,6,-5.25214,-8.90752,-0.0240285,1.0
0,7,-4.38452,-8.71545,-0.0123359,1.0
0,8,-0.46044,-4.82743,0.0216947,1.0
0,9,-2.34672,-4.86932,0.0312149,1.0
0,10,-2.23253,-8.53593,0.0290233,1.0
0,11,-4.03064,-0.989594,0.0634131,1.0
0,12,-4.15601,-8.36577,0.0171931,1.0
0,13,-1.40783,-9.34911,-0.0420758,1.0
0,14,-3.03602,-11.1539,0.0392699,1.0
0,15,-3.94655,-2.28792,0.0218878,1.0
0,16,-6.53417,3.12458,0.0608771,1.0
0,17,-3.54446,9.23192,0.084312,1.0
0,18,-2.51026,4.733,0.080721,1.0
0,19,-0.620258,12.409,-0.0272387,1.0
0,20,-3.30978,6.15496,0.0366172,1.0
0,21,-0.0755478,0.59195,0.0866726,1.0
0,22,-2.45201,-0.2401,-0.083222,1.0
0,23,-2.83963,3.52299,0.0722069,1.0
0,24,1.11644,-1.63054,0.0521716,1.0
0,25,-3.71924,-1.9004,0.0648866,1.0
0,26,1.92895,-10.1829,-0.0695162,1.0
0,27,-0.542549,-12.0749,0.00523978,1.0
0,28,5.03769,-7.34544,0.0218011,1.0
0,29,4.56577,-8.2081,-0.0827628,1.0
0,30,2.51599,-9.32735,-0.0449623,1.0
0,31,-2.29904,1.32139,0.0340793,1.0
0,32,1.3746,9.47604,-0.0114849,1.0
0,33,0.573128,4.54649,0.0354729,1.0
0,34,0.110972,6.9041,0.0503794,1.0
0,35,-2.57407,4.59797,0.0708367,1.0
0,36,-2.14024,-7.42068,-0.00456528,1.0
0,37,-3.23836,-8.91152,0.00857143,1.0
0,38,-4.52104,-8.40807,0.0160977,1.0
0,39,-0.447768,-6.02846,-0.0225434,1.0
0,40,1.55037,-5.96662,0.0191805,1.0
0,41,2.63033,2.91455,0.0718849,1.0
0,42,-1.05346,6.72788,-0.00523839,1.0
0,43,3.13171,8.50468,0.0890731,1.0
0,44,0.872977,10.8108,-0.0309116,1.0
0,45,3.53279,6.78565,0.0111763,1.0
0,46,-0.404414,3.15412,0.00437606,1.0
0,47,4.58823,-2.04179,0.0101003,1.0
0,48,1.372,-6.53068,0.0157436,1.0
0,49,3.79873,1.7304,0.000995144,1.0
0,50,2.64601,5.19787,0.04578,1.0
0,51,-4.29616,5.94031,-0.0482341,1.0
