frame,particle,x,y,z,mass
7,5,-1.65003,-1.11428,0.016644,1.0
7,6,-0.606883,-2.46729,0.0254878,1.0
7,7,1.15609,0.491416,-0.0524561,1.0
7,8,0.288818,-0.726504,0.0600134,1.0
7,9,0.713806,-2.79912,-0.00780653,1.0
7,10,-2.0342,-0.765685,-0.0451537,1.0
7,11,1.48198,-1.52359,0.0771226,1.0
7,12,-0.186544,-0.768207,0.0784589,1.0
7,13,-1.6734,0.742425,-0.0470271,1.0
7,14,-0.4314,-1.9756,-0.00675442,1.0
7,15,-0.397472,0.528901,0.00931325,1.0
8,1,-0.0803026,0.695862,0.0977274,1.0
8,2,0.624731,1.69947,-0.0451218,1.0
8,3,-0.761599,2.03253,0.0710086,1.0
8,4,1.97098,0.490471,-0.0887217,1.0
8,5,-1.67178,-1.09358,-0.0369303,1.0
8,6,-0.665819,-2.49786,0.0173353,1.0
8,7,1.1474,0.485552,-0.048234,1.0
8,8,0.238687,-0.742835,0.0883972,1.0
8,9,0.684445,-2.87227,-0.0304174,1.0
8,10,-2.02166,-0.774506,0.0281821,1.0
8,11,1.49079,-1.52889,-0.0979682,1.0
8,12,-0.15991,-0.749011,0.0263168,1.0
8,13,-1.69074,0.761601,0.0546103,1.0
8,14,-0.42996,-1.95528,-0.129297,1.0
8,15,-0.404951,0.593267,0.168472,1.0
9,1,-0.147626,0.675648,0.0387242,1.0
9,2,0.634972,1.72108,-0.0204063,1.0
9,3,-0.711195,2.08293,-0.0550251,1.0
9,4,1.97593,0.511508,-0.037226,1.0
9,5,-1.68627,-1.06921,-0.0899937,1.0
9,6,-0.72395,-2.52111,0.0110245,1.0
9,7,1.1422,0.470335,-0.0416204,1.0
9,8,0.188721,-0.759146,-0.0844235,1.0
9,9,0.65497,-2.93978,-0.0504778,1.0
9,10,-1.99919,-0.781973,-0.0975163,1.0
9,11,1.49607,-1.53197,-0.0735915,1.0
9,12,-0.129477,-0.726753,-0.0268745,1.0
9,13,-1.70888,0.778467,-0.0418132,1.0
9,14,-0.430781,-1.94016,-0.048947,1.0
9,15,-0.406154,0.659783,-0.0736608,1.0
10,1,-0.227526,0.653016,-0.0206133,1.0
10,2,0.652222,1.74559,0.00456946,1.0
10,3,-0.663799,2.13393,0.0171243,1.0
10,4,1.97785,0.53323,0.0169928,1.0
10,5,-1.69426,-1.0413,0.055838,1.0
10,6,-0.780118,-2.54029,0.00582606,1.0
10,7,1.13379,0.449715,-0.0306679,1.0
10,8,0.138138,-0.77063,-0.059777,1.0
10,9,0.627947,-3.00415,-0.0680703,1.0
10,10,-1.96703,-0.788142,-0.0217739,1.0
10,11,1.49328,-1.53202,-0.0516025,1.0
10,12,-0.0929167,-0.700117,-0.0777935,1.0
10,13,-1.72788,0.795045,0.059269,1.0
10,14,-0.433092,-1.93037,0.0309023,1.0
10,15,-0.401346,0.725657,0.0837328,1.0
11,1,-0.314448,0.630285,0.118975,1.0
11,2,0.675936,1.77294,0.031398,1.0
11,3,-0.622028,2.18528,-0.111179,1.0
11,4,1.98078,0.553685,0.073483,1.0
11,5,-1.69583,-1.01121,0.0018197,1.0
11,6,-0.834328,-2.55498,-0.000108509,1.0
11,7,1.12205,0.423089,-0.020515,1.0
11,8,0.0876577,-0.773493,-0.0351138,1.0
11,9,0.60227,-3.06575,0.113966,1.0
11,10,-1.92387,-0.792631,0.0525133,1.0
11,11,1.48449,-1.52847,-0.030503,1.0
11,12,-0.0487441,-0.671735,0.0713649,1.0
11,13,-1.74784,0.811136,-0.0405946,1.0
11,14,-0.435877,-1.9244,-0.0836617,1.0
11,15,-0.389628,0.785785,0.0416152,1.0
12,1,-0.404046,0.614359,0.0570525,1.0
12,2,0.705115,1.80219,0.0575334,1.0
12,3,-0.588052,2.23723,-0.0392965,1.0
12,4,1.98437,0.576046,-0.0675042,1.0
12,5,-1.68968,-0.979927,-0.0527285,1.0
12,6,-0.890617,-2.5669,-0.00953795,1.0
12,7,1.10223,0.39155,-0.0127429,1.0
12,8,0.0402736,-0.770091,-0.0108746,1.0
12,9,0.576696,-3.12115,0.0955212,1.0
12,10,-1.86745,-0.797298,-0.0758225,1.0
12,11,1.46697,-1.52158,-0.00872309,1.0
12,12,-0.000666875,-0.645798,0.0195406,1.0
12,13,-1.77049,0.825,0.0586636,1.0
12,14,-0.440414,-1.92502,0.00192897,1.0
12,15,-0.370358,0.839438,-0.00176406,1.0
13,1,-0.492281,0.602999,-0.00545701,1.0
13,2,0.739704,1.82852,0.0813135,1.0
13,3,-0.55731,2.29013,0.0298461,1.0
13,4,1.98931,0.597815,-0.00956188,1.0
13,5,-1.67237,-0.945675,0.0931959,1.0
13,6,-0.95012,-2.57516,-0.0181352,1.0
13,7,1.07199,0.355482,-0.0050353,1.0
13,8,-0.00663756,-0.757802,0.0148861,1.0
13,9,0.549739,-3.17299,0.0743761,1.0
13,10,-1.80154,-0.799019,-0.00449666,1.0
13,11,1.44059,-1.51055,0.0117989,1.0
13,12,0.0494443,-0.624968,-0.0312891,1.0
13,13,-1.79727,0.837661,-0.0428948,1.0
13,14,-0.444052,-1.93009,-0.111438,1.0
13,15,-0.349468,0.887483,-0.0486823,1.0
14,1,-0.575115,0.596403,0.131693,1.0
14,2,0.779633,1.85346,0.103871,1.0
14,3,-0.527697,2.34132,-0.0972399,1.0
14,4,1.99829,0.618914,0.0479797,1.0
14,5,-1.64839,-0.91014,0.0379183,1.0
14,6,-1.01112,-2.5841,-0.0268493,1.0
14,7,1.02992,0.316042,0.00313835,1.0
14,8,-0.0497281,-0.737818,0.0417305,1.0
14,9,0.523295,-3.21901,0.0541877,1.0
14,10,-1.72441,-0.798591,0.0683731,1.0
14,11,1.4076,-1.4951,0.0304812,1.0
14,12,0.0995859,-0.607035,-0.0810523,1.0
14,13,-1.82319,0.847398,0.0530442,1.0
14,14,-0.445904,-1.93579,-0.0251395,1.0
14,15,-0.32682,0.92888,0.104392,1.0
15,1,-0.652857,0.592746,0.0690705,1.0
15,2,0.823242,1.87546,-0.0739523,1.0
15,3,-0.50042,2.39407,-0.0247872,1.0
15,4,2.0122,0.640888,-0.0949227,1.0
15,5,-1.61863,-0.871371,-0.0170811,1.0
15,6,-1.07436,-2.59443,-0.0343941,1.0
15,7,0.979815,0.276591,0.0119044,1.0
15,8,-0.0877014,-0.712712,0.0696626,1.0
15,9,0.495284,-3.25708,0.0341616,1.0
15,10,-1.63588,-0.79632,-0.0583451,1.0
15,11,1.36582,-1.47591,0.0501029,1.0
15,12,0.146707,-0.596959,0.0695659,1.0
15,13,-1.85029,0.857057,-0.0517113,1.0
15,14,-0.441542,-1.94195,0.0614372,1.0
15,15,-0.304572,0.965083,0.0561072,1.0
16,1,-0.721741,0.588706,0.0047947,1.0
16,2,0.868792,1.89505,-0.05585,1.0
16,3,-0.475238,2.44561,0.0481478,1.0
16,4,2.02826,0.667207,-0.0374254,1.0
16,5,-1.58047,-0.829633,-0.0728905,1.0
16,6,-1.14014,-2.60769,-0.0428386,1.0
16,7,0.926334,0.241569,0.018589,1.0
16,8,-0.119923,-0.686739,0.100224,1.0
